game_id,turns,w_ctrld_pawn,w_ctrld_knight,w_ctrld_bishop,w_ctrld_rook,w_ctrld_queen,w_ctrld_king,w_preassure_points,w_ctrld_diagonals,w_ctrld_lines,b_ctrld_pawn,b_ctrld_knight,b_ctrld_bishop,b_ctrld_rook,b_ctrld_queen,b_ctrld_king,b_preassure_points,b_ctrld_diagonals,b_ctrld_lines,rated_cod,winner_cod,current_turn_cod,time_increment_cod,opening_code_cod,opening_fullname_cod,opening_shortname_cod,opening_variation_cod,moves_fen_cod
1,13,10,5,10,3,7,1,11,4,3,9,5,5,0,10,4,8,4,1,0,1,0,110,244,1363,110,180,17687
2,16,9,2,1,0,0,3,7,2,0,8,10,9,1,4,3,9,3,0,1,0,1,293,70,739,74,261,13299
3,61,12,3,7,9,14,3,10,4,6,2,0,0,0,0,0,0,0,0,1,1,0,293,170,642,61,297,8868
4,61,9,5,8,17,11,2,14,2,4,7,0,0,0,0,0,1,0,1,1,1,0,186,237,976,94,606,7904
5,95,4,0,0,9,18,6,5,1,4,2,0,0,0,0,0,0,0,0,1,1,0,243,190,771,83,608,6339
7,33,7,6,9,14,15,2,14,6,6,7,5,0,5,17,0,5,1,4,1,1,0,19,235,88,11,416,3464
8,9,13,5,12,0,10,2,10,5,1,10,6,4,1,4,1,9,2,0,0,0,0,114,70,741,74,261,13570
9,66,10,0,0,0,0,1,4,2,2,7,3,0,16,17,2,10,3,8,1,0,1,102,199,499,52,472,4810
10,119,1,0,0,0,17,6,5,0,2,1,0,0,0,0,0,0,0,0,1,1,0,19,71,1119,104,335,9195
11,39,10,5,5,16,6,2,9,2,7,11,0,0,0,0,0,4,2,1,0,1,0,201,0,1409,121,608,16895
12,38,7,1,0,1,0,4,6,0,4,9,0,11,4,0,4,5,3,1,0,0,1,201,153,320,38,18,14908
13,60,5,7,0,11,15,2,15,4,5,10,7,2,12,14,3,10,3,7,0,0,1,305,151,348,38,280,15983
14,31,9,9,7,3,7,6,9,4,1,9,7,12,4,7,4,13,6,3,0,0,0,355,151,308,38,0,14167
15,31,12,6,5,8,10,1,9,2,4,11,0,0,0,0,0,8,2,4,0,1,0,108,199,294,36,246,14088
16,43,6,2,0,0,3,1,6,2,2,10,3,8,3,9,2,3,5,4,0,0,0,108,206,514,52,565,13826
17,52,11,0,9,0,0,1,5,4,0,11,0,0,5,18,3,7,2,4,0,0,1,108,199,294,36,246,3518
18,66,7,0,0,0,0,0,3,2,1,9,4,0,13,10,1,8,1,5,0,0,1,109,199,294,36,246,7232
19,101,5,0,0,0,0,3,0,0,0,3,0,0,0,19,4,1,2,3,0,0,0,108,190,773,83,1,6663
20,25,13,8,4,1,8,1,6,2,1,11,7,15,3,4,3,8,4,2,0,1,0,43,235,945,94,608,11483
21,14,11,12,11,3,3,1,10,3,0,11,11,8,4,4,3,10,4,1,0,0,1,108,204,459,52,47,13389
22,3,10,7,5,1,2,1,8,1,1,10,5,5,0,4,1,8,2,0,0,1,0,251,36,429,48,608,17910
23,17,12,5,12,3,8,1,11,5,2,11,9,1,2,5,3,10,1,1,0,1,0,117,89,1186,109,99,17715
24,36,11,0,13,3,9,1,7,6,0,8,8,0,7,5,1,6,0,3,1,1,1,19,24,254,33,272,2299
25,13,10,11,14,4,10,4,17,5,3,10,11,5,3,4,1,9,2,0,1,0,0,19,90,1327,109,500,13430
26,69,11,0,0,12,15,3,7,0,4,6,0,0,0,0,0,4,0,2,1,1,0,21,236,951,94,132,4844
27,43,10,0,0,17,0,2,3,0,5,6,0,5,7,0,7,6,1,1,1,1,0,21,194,1136,106,230,16607
28,54,8,0,0,0,0,0,4,1,0,10,8,9,11,18,3,15,5,6,1,0,1,21,236,951,94,132,647
29,53,8,7,9,5,0,2,4,3,1,4,0,0,0,17,0,2,1,2,1,0,0,21,244,1353,110,608,18009
30,66,6,0,0,0,0,0,2,1,2,5,0,0,8,20,5,6,3,7,1,0,1,21,241,928,90,320,5583
31,64,2,3,0,0,0,8,0,0,0,4,6,8,5,0,1,4,1,1,1,0,1,21,90,1327,109,500,6107
